word_count,num_links,spam_words,is_fraud
33,0,0,0
23,0,0,0
18,0,0,0
1,0,0,0
13,0,0,0
14,0,0,0
14,0,0,0
5,0,0,0
24,0,0,0
41,0,1,0
873,1,2,0
1,0,0,0
8,0,0,0
17,0,0,0
10,0,0,0
29,0,0,0
5,0,0,0
5,0,0,0
5,0,0,0
16,0,1,0
19,0,0,0
810,0,0,0
7,0,0,0
6,0,0,0
8,0,0,0
273,0,1,0
3,0,0,0
1,0,0,0
5,0,0,0
37,0,1,0
8,0,0,0
23,0,0,0
17,0,0,0
26,0,0,0
35,0,0,0
15,0,0,0
4,0,0,0
47,0,0,0
4,0,0,0
6,0,0,0
20,0,0,0
4,0,0,0
58,0,0,0
7,0,0,0
1,0,0,0
89,0,0,0
21,0,0,0
93,0,0,0
11,0,0,0
44,0,0,0
102,0,0,0
5,0,0,0
16,0,0,0
26,0,0,0
14,0,0,0
2,0,0,0
13,0,0,0
24,0,0,0
305,0,1,0
13,0,1,0
154,0,1,0
78,0,0,0
103,0,0,0
44,0,0,0
71,0,0,0
1,0,0,0
17,0,0,0
30,0,0,0
1,0,0,0
16,0,0,0
51,0,0,0
2,0,0,0
45,0,0,0
8,0,0,0
1,0,0,0
9,0,0,0
30,0,0,0
60,0,0,0
46,0,0,0
13,0,0,0
16,0,0,0
10,0,0,0
18,0,1,0
6,0,0,0
237,0,0,0
1,0,0,0
15,0,0,0
14,0,0,0
24,0,0,0
12,0,0,0
3,0,0,0
8,0,0,0
1,0,0,0
1,0,0,0
9,0,1,0
14,0,0,0
26,0,0,0
12,0,0,0
354,1,4,1
20,0,0,0
93,0,0,0
88,0,0,0
20,0,0,0
2,0,0,0
19,0,0,0
3,0,0,0
36,0,1,0
17,0,0,0
25,0,1,0
8,0,0,0
2,0,0,0
51,0,1,0
25,0,0,0
11,0,0,0
21,0,0,0
1,0,0,0
15,0,0,0
1,0,0,0
585,0,8,0
1,0,0,0
1,0,0,0
1,0,0,0
39,0,0,0
7,0,0,0
1,0,0,0
1,0,0,0
2,0,0,0
1,0,0,0
82,0,2,0
3,0,0,0
1,0,0,0
20,0,0,0
8,0,0,0
13,0,0,0
180,0,0,0
72,0,0,0
54,0,0,0
4,0,0,0
542,0,0,0
1,0,0,0
9,0,0,0
9,0,0,0
32,0,0,0
100,0,0,0
14,0,0,0
169,0,1,0
94,0,0,0
156,0,0,0
61,0,0,0
7,0,0,0
1,0,0,0
22,0,0,0
36,0,1,0
7,0,0,0
146,0,0,0
39,0,0,0
10,0,0,0
57,0,0,0
26,0,0,0
1,0,0,0
8,0,0,0
347,0,0,0
139,0,0,0
1,0,0,0
3,0,0,0
2,0,0,0
3,0,0,0
22,0,0,0
12,0,0,0
14,0,0,0
149,0,1,0
8,0,0,0
53,0,0,0
168,0,0,0
17,0,0,0
134,0,0,0
34,0,0,0
1,0,0,0
19,0,0,0
1,0,0,0
1,0,0,0
32,0,0,0
50,0,0,0
70,0,0,0
55,0,1,0
21,0,0,0
33,0,0,0
10,0,0,0
19,0,0,0
7,0,0,0
315,1,1,0
79,0,0,0
6,0,0,0
14,0,0,0
9,0,0,0
6,0,0,0
8,0,0,0
2,0,0,0
10,0,0,0
20,0,0,0
14,0,0,0
4583,0,7,0
1,0,0,0
3,0,0,0
2,0,0,0
1,0,0,0
8,0,0,0
21,0,1,0
8,0,0,0
39,0,0,0
1,0,0,0
44,0,0,0
1,0,0,0
8,0,0,0
9,0,0,0
18,0,0,0
6,0,0,0
5,0,0,0
7,0,0,0
16,0,0,0
43,0,0,0
344,0,0,0
40,0,0,0
15,0,0,0
490,0,1,0
1,0,0,0
5,0,0,0
77,0,0,0
45,0,0,0
8,0,0,0
15,0,0,0
1,0,0,0
11,0,0,0
1,0,0,0
4,0,0,0
172,0,0,0
73,0,0,0
53,0,0,0
1,0,0,0
54,0,0,0
1,0,0,0
2,0,0,0
35,0,0,0
1,0,0,0
25,0,0,0
28,0,0,0
91,0,0,0
9,0,0,0
478,0,0,0
5,0,0,0
1,0,0,0
47,0,0,0
8,0,0,0
49,0,0,0
13,0,0,0
1,0,0,0
2,0,0,0
1,0,0,0
7,0,0,0
2,0,0,0
7,0,0,0
42,0,0,0
83,0,0,0
3,0,0,0
25,0,0,0
5,0,0,0
32,0,0,0
46,0,0,0
11,0,0,0
6,0,0,0
25,0,0,0
2,0,0,0
3,0,0,0
2,0,0,0
3,0,0,0
1,0,0,0
12,0,0,0
8,0,0,0
3,0,0,0
2,0,0,0
8,0,0,0
14,0,0,0
1,0,0,0
71,0,0,0
333,0,0,0
8,0,0,0
1,0,0,0
73,0,0,0
11,0,0,0
20,0,0,0
38,0,1,0
42,0,0,0
1,0,0,0
139,0,0,0
6,0,0,0
15,0,0,0
7,0,0,0
5,0,0,0
3,0,0,0
1,0,0,0
13,0,0,0
55,0,0,0
29,0,0,0
27,0,0,0
678,1,1,0
41,1,0,0
1,0,0,0
359,0,1,0
20,0,0,0
97,0,0,0
38,0,0,0
1,0,0,0
122,0,0,0
1,0,0,0
16,0,0,0
3,0,0,0
22,0,0,0
27,0,0,0
48,0,0,0
85,0,0,0
2,0,0,0
14,0,0,0
29,0,0,0
8,0,0,0
18,0,0,0
8,0,0,0
6,0,0,0
11,0,0,0
14,0,0,0
8,0,0,0
9,0,0,0
11,0,0,0
8,0,0,0
541,0,2,0
9,0,0,0
19,0,0,0
3,0,0,0
632,0,3,0
